file,subject,pred_start,pred_end,matched_exercise,matched_iou,source
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,4896,7143,db_bench_press,0.6587,pca_autocorr
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,16310,17952,db_bench_press,0.2951,pca_autocorr
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,17952,19021,db_bench_press,0.572,pca_autocorr
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,73161,74023,one_arm_db_row,0.5464,pca_autocorr
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,74023,74953,one_arm_db_row,0.4409,pca_autocorr
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,74953,75909,one_arm_db_row,0.387,pca_autocorr
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,75909,76965,one_arm_db_row,0.3845,pca_autocorr
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,76965,77981,one_arm_db_row,0.3789,pca_autocorr
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,88569,89049,one_arm_db_row,0.7697,pca_autocorr
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,89049,89401,one_arm_db_row,0.8338,pca_autocorr
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,89401,89742,one_arm_db_row,0.912,pca_autocorr
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,89742,90097,one_arm_db_row,0.9293,pca_autocorr
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,90097,90437,one_arm_db_row,0.8822,pca_autocorr
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,90437,90767,one_arm_db_row,0.8879,pca_autocorr
