file,subject,pred_start,pred_end,matched_exercise,matched_iou,source
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,440,579,db_bench_press,0.4513,pca_extrema
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,750,899,db_bench_press,0.3506,pca_extrema
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,899,1136,db_bench_press,0.4115,pca_extrema
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,1136,1367,db_bench_press,0.4925,pca_extrema
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,1367,1542,db_bench_press,0.3731,pca_extrema
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,1542,1738,db_bench_press,0.4447,pca_extrema
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,1738,1862,db_bench_press,0.3272,pca_extrema
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,2055,2200,db_bench_press,0.2965,pca_extrema
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,2489,2591,db_bench_press,0.2939,pca_extrema
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,2591,2798,db_bench_press,0.5014,pca_extrema
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,2798,3034,db_bench_press,0.4917,pca_extrema
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,3034,3280,db_bench_press,0.4405,pca_extrema
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,3280,3582,db_bench_press,0.6076,pca_extrema
